customer_id,risk_segment,churn,churn_binary,contract_type,monthly_charges,tenure_months,support_tickets,sessions_per_week
CUST00001,Medium Risk,Yes,1,Month-to-month,34.48,52,2,3.4
CUST00002,Medium Risk,No,0,Two year,30.07,15,0,0.1
CUST00003,High Risk,No,0,Month-to-month,95.59,61,1,2.5
CUST00004,High Risk,Yes,1,Month-to-month,112.61,21,2,2.7
CUST00005,Medium Risk,No,0,Month-to-month,64.74,24,1,2.6
CUST00006,High Risk,No,0,Two year,85.26,3,2,0.5
CUST00007,Medium Risk,Yes,1,One year,111.27,22,0,0.2
CUST00008,Medium Risk,No,0,Month-to-month,27.19,53,2,7.1
CUST00009,High Risk,Yes,1,Month-to-month,96.59,2,0,2.3
CUST00010,High Risk,No,0,Month-to-month,80.92,30,2,1.2
CUST00011,Medium Risk,No,0,Month-to-month,79.06,38,2,4.4
CUST00012,Medium Risk,No,0,One year,47.84,2,1,7.6
CUST00013,High Risk,No,0,Month-to-month,87.76,64,0,1.6
CUST00014,High Risk,No,0,Month-to-month,99.07,60,1,0.3
CUST00015,Medium Risk,No,0,Month-to-month,29.51,21,0,3.5
CUST00016,Medium Risk,No,0,Month-to-month,72.42,33,1,7.1
CUST00017,Medium Risk,Yes,1,Month-to-month,28.33,58,2,11.8
CUST00018,Low Risk,Yes,1,One year,107.0,22,2,5.0
CUST00019,Medium Risk,No,0,One year,69.78,49,1,0.9
CUST00020,High Risk,Yes,1,Month-to-month,100.41,59,2,1.3
CUST00021,High Risk,No,0,Month-to-month,55.54,42,1,0.4
CUST00022,Medium Risk,No,0,Month-to-month,30.76,60,1,3.7
CUST00023,Medium Risk,Yes,1,One year,22.23,15,1,0.6
CUST00024,Low Risk,No,0,One year,46.71,62,1,1.7
CUST00025,Medium Risk,Yes,1,Month-to-month,42.91,62,0,2.3
CUST00026,High Risk,No,0,Month-to-month,75.16,47,1,1.4
CUST00027,High Risk,No,0,Month-to-month,20.22,62,1,0.5
CUST00028,High Risk,Yes,1,Month-to-month,71.1,51,0,1.0
CUST00029,High Risk,No,0,Month-to-month,57.96,55,3,3.0
CUST00030,Medium Risk,No,0,Month-to-month,76.87,64,2,3.9
CUST00031,High Risk,No,0,Month-to-month,89.65,3,2,2.9
CUST00032,High Risk,No,0,Month-to-month,82.68,51,2,10.1
CUST00033,Low Risk,No,0,Two year,118.43,7,1,2.9
CUST00034,High Risk,Yes,1,Month-to-month,32.1,21,1,0.8
CUST00035,Low Risk,No,0,Two year,61.83,39,1,2.0
CUST00036,Low Risk,No,0,One year,61.33,18,1,5.4
CUST00037,High Risk,No,0,One year,60.54,4,1,1.2
CUST00038,High Risk,No,0,Month-to-month,85.71,60,2,4.0
CUST00039,Low Risk,No,0,One year,67.96,14,1,4.6
CUST00040,Low Risk,No,0,One year,70.78,9,1,8.2
