customer_id,gender,senior_citizen,age,tenure_months,contract_type,payment_method,internet_service,monthly_charges,total_charges,num_services,support_tickets,sessions_per_week,churn
CUST00001,Female,0,19,52,Month-to-month,Electronic check,DSL,34.48,1641.2,3,2,3.4,Yes
CUST00002,Female,0,24,15,Two year,Electronic check,No,30.07,390.06,3,0,0.1,No
CUST00003,Male,0,18,61,Month-to-month,Bank transfer,Fiber optic,95.59,5989.48,6,1,2.5,No
CUST00004,Male,0,54,21,Month-to-month,Electronic check,No,112.61,2092.63,1,2,2.7,Yes
CUST00005,Male,0,32,24,Month-to-month,Credit card,DSL,64.74,1516.49,3,1,2.6,No
CUST00006,Female,0,28,3,Two year,Mailed check,Fiber optic,85.26,250.36,7,2,0.5,No
CUST00007,Female,0,37,22,One year,Bank transfer,Fiber optic,111.27,2218.4,2,0,0.2,Yes
CUST00008,Female,0,67,53,Month-to-month,Mailed check,No,27.19,1508.99,3,2,7.1,No
CUST00009,Female,0,58,2,Month-to-month,Electronic check,No,96.59,166.68,7,0,2.3,Yes
CUST00010,Male,1,50,30,Month-to-month,Bank transfer,DSL,80.92,2358.59,3,2,1.2,No
CUST00011,Female,0,69,38,Month-to-month,Mailed check,Fiber optic,79.06,2841.77,5,2,4.4,No
CUST00012,Female,0,55,2,One year,Bank transfer,Fiber optic,47.84,86.03,1,1,7.6,No
CUST00013,Male,0,37,64,Month-to-month,Mailed check,No,87.76,4957.87,1,0,1.6,No
CUST00014,Female,0,27,60,Month-to-month,Credit card,Fiber optic,99.07,5928.85,7,1,0.3,No
CUST00015,Female,1,49,21,Month-to-month,Electronic check,No,29.51,640.32,2,0,3.5,No
CUST00016,Male,1,53,33,Month-to-month,Electronic check,Fiber optic,72.42,2082.79,2,1,7.1,No
CUST00017,Female,0,67,58,Month-to-month,Electronic check,DSL,28.33,1460.42,2,2,11.8,Yes
CUST00018,Male,0,29,22,One year,Credit card,Fiber optic,107.0,2465.24,1,2,5.0,Yes
CUST00019,Female,0,42,49,One year,Electronic check,No,69.78,2916.61,5,1,0.9,No
CUST00020,Male,0,26,59,Month-to-month,Electronic check,Fiber optic,100.41,5637.76,5,2,1.3,Yes
CUST00021,Male,0,66,42,Month-to-month,Electronic check,DSL,55.54,2223.56,4,1,0.4,No
CUST00022,Male,0,34,60,Month-to-month,Credit card,DSL,30.76,1665.9,1,1,3.7,No
CUST00023,Male,0,31,15,One year,Credit card,Fiber optic,22.23,327.65,4,1,0.6,Yes
CUST00024,Male,0,41,62,One year,Bank transfer,DSL,46.71,3008.93,3,1,1.7,No
CUST00025,Female,0,58,62,Month-to-month,Mailed check,DSL,42.91,2500.91,2,0,2.3,Yes
CUST00026,Male,0,68,47,Month-to-month,Electronic check,Fiber optic,75.16,3532.11,4,1,1.4,No
CUST00027,Female,0,62,62,Month-to-month,Credit card,Fiber optic,20.22,1227.58,6,1,0.5,No
CUST00028,Male,0,20,51,Month-to-month,Electronic check,DSL,71.1,3425.17,4,0,1.0,Yes
CUST00029,Male,0,67,55,Month-to-month,Electronic check,No,57.96,2741.39,1,3,3.0,No
CUST00030,Male,1,58,64,Month-to-month,Mailed check,DSL,76.87,4911.56,2,2,3.9,No
CUST00031,Female,0,33,3,Month-to-month,Electronic check,Fiber optic,89.65,248.15,2,2,2.9,No
CUST00032,Male,0,35,51,Month-to-month,Credit card,Fiber optic,82.68,3773.5,5,2,10.1,No
CUST00033,Female,0,56,7,Two year,Electronic check,No,118.43,861.88,4,1,2.9,No
CUST00034,Female,0,67,21,Month-to-month,Credit card,Fiber optic,32.1,677.27,5,1,0.8,Yes
CUST00035,Female,0,31,39,Two year,Bank transfer,DSL,61.83,2513.74,4,1,2.0,No
