customer_id,gender,senior_citizen,age,tenure_months,contract_type,payment_method,internet_service,monthly_charges,total_charges,num_services,support_tickets,sessions_per_week,churn,churn_binary,risk_segment
CUST00003,Male,0,18,61,Month-to-month,Bank transfer,Fiber optic,95.59,5989.48,6,1,2.5,No,0,High Risk
CUST00004,Male,0,54,21,Month-to-month,Electronic check,No,112.61,2092.63,1,2,2.7,Yes,1,High Risk
CUST00006,Female,0,28,3,Two year,Mailed check,Fiber optic,85.26,250.36,7,2,0.5,No,0,High Risk
CUST00009,Female,0,58,2,Month-to-month,Electronic check,No,96.59,166.68,7,0,2.3,Yes,1,High Risk
CUST00010,Male,1,50,30,Month-to-month,Bank transfer,DSL,80.92,2358.59,3,2,1.2,No,0,High Risk
CUST00013,Male,0,37,64,Month-to-month,Mailed check,No,87.76,4957.87,1,0,1.6,No,0,High Risk
CUST00014,Female,0,27,60,Month-to-month,Credit card,Fiber optic,99.07,5928.85,7,1,0.3,No,0,High Risk
CUST00020,Male,0,26,59,Month-to-month,Electronic check,Fiber optic,100.41,5637.76,5,2,1.3,Yes,1,High Risk
CUST00021,Male,0,66,42,Month-to-month,Electronic check,DSL,55.54,2223.56,4,1,0.4,No,0,High Risk
CUST00026,Male,0,68,47,Month-to-month,Electronic check,Fiber optic,75.16,3532.11,4,1,1.4,No,0,High Risk
CUST00027,Female,0,62,62,Month-to-month,Credit card,Fiber optic,20.22,1227.58,6,1,0.5,No,0,High Risk
CUST00028,Male,0,20,51,Month-to-month,Electronic check,DSL,71.1,3425.17,4,0,1.0,Yes,1,High Risk
CUST00029,Male,0,67,55,Month-to-month,Electronic check,No,57.96,2741.39,1,3,3.0,No,0,High Risk
CUST00031,Female,0,33,3,Month-to-month,Electronic check,Fiber optic,89.65,248.15,2,2,2.9,No,0,High Risk
CUST00032,Male,0,35,51,Month-to-month,Credit card,Fiber optic,82.68,3773.5,5,2,10.1,No,0,High Risk
CUST00034,Female,0,67,21,Month-to-month,Credit card,Fiber optic,32.1,677.27,5,1,0.8,Yes,1,High Risk
CUST00037,Male,0,27,4,One year,Credit card,DSL,60.54,246.32,1,1,1.2,No,0,High Risk
CUST00038,Female,0,23,60,Month-to-month,Mailed check,No,85.71,4996.26,3,2,4.0,No,0,High Risk
